name,n_test,LR_MAE,LR_RMSE,LR_R2,RF_MAE,RF_RMSE,RF_R2
ICE,248,0.5270889177898926,0.823402079352214,0.9697046484455317,0.5244121318676308,0.8280940731585514,0.9693584006044818
FLS,249,0.5285444390335832,0.794013168069671,0.9493992500027,0.5254898613288314,0.7939433927788984,0.9494081428701081
KHC,128,0.5288820822759961,0.7379407628490645,0.9252842933624834,0.5256647582374249,0.7317099075903162,0.9265407013434335
MYL,249,0.5237997282089819,0.7671275529805104,0.9634715892505001,0.528067892707917,0.7720825115601244,0.962998183490999
PNW,249,0.5266730919890487,0.6888901753643959,0.9600792331981416,0.5287699301657183,0.6886332139461501,0.9601090091596707
NKE,249,0.5273452828892876,0.8098810689700946,0.9639591252529656,0.5307249077559378,0.8142943979048163,0.963565256006583
CINF,249,0.5363901074251332,0.7660112395748001,0.9100729771016028,0.5333324554833377,0.7680667902684617,0.9095897007167624
JEC,249,0.5338587140426991,0.8125219444880438,0.9782101659059396,0.5375974105216335,0.8186416726240435,0.9778806977989456
FTV,78,0.5312351794299958,0.7540079055504133,0.6140617702417468,0.5381258249889407,0.7627827136978063,0.6050267471751049
VFC,249,0.5399443767477947,0.7375480308908627,0.9928272037354055,0.5387171832409285,0.7413129451957458,0.9927537878021134
STI,249,0.5377784639448646,0.7512182784366245,0.9709214957007569,0.5398161141418718,0.7529839099081858,0.970784645307877
AXP,249,0.5375614348987074,0.7964923737216142,0.9895082973125068,0.5400714481835465,0.8048727224151178,0.9892863575183113
MSFT,249,0.5378528863441485,0.828297109799162,0.9898913520215276,0.5465951041867706,0.8311407213614675,0.9898218252538675
AWK,249,0.5447422823000377,0.746165633416057,0.9756406983129798,0.5482624074374439,0.75362339959131,0.9751513328843993
ETR,249,0.5509783696251006,0.7035141883223226,0.9638549859597265,0.5495478700845072,0.6997677067694776,0.964238932887754
EIX,249,0.5566129829624878,1.0020622718877494,0.9723087680072207,0.5508470619124021,0.994202462302522,0.9727414641416925
HAL,249,0.5567513088149062,0.7890819207197065,0.9682304999107131,0.5531880708894021,0.7872029901955019,0.9683816163232619
ALL,249,0.5434294720588572,0.8155560606512464,0.987985250405938,0.5540542005706472,0.8238703720277225,0.9877390292856111
PNR,249,0.5521629371460836,0.8049630478188013,0.9597824012203573,0.5548598661142422,0.8050332153527988,0.9597753894880027
QCOM,249,0.5518092476030921,0.9031455329166177,0.9715417408360032,0.5562939910905441,0.9065459252780002,0.971327043615452
SNPS,249,0.5552432491751421,0.8151155408421626,0.9862947537116334,0.5565931883937514,0.8208823863145276,0.9861001417362447
WRK,130,0.5532057243617414,0.768175696228877,0.967159338212539,0.5571112238184401,0.7675839661240136,0.9672099134227085
C,249,0.5483791438231381,0.7613609234210301,0.9855521392259528,0.5577159171156041,0.7710198165596085,0.9851832326235557
VRSK,249,0.5547382428084372,0.8519614696379287,0.9815450484378131,0.5582798100187992,0.8518924576796703,0.9815480381522748
LEN,249,0.5587555443809089,0.7801504038496346,0.9829506525289757,0.5597041946217733,0.7825493888672583,0.9828456368422116
MDT,249,0.5557546144152063,0.7999938860951146,0.9317980140096711,0.5615819816039154,0.8036856069013246,0.9311671000885643
DVN,249,0.5619588878395796,0.7463276004745656,0.9705834210045875,0.5623458515417333,0.7437506308767748,0.9707862133342103
XRAY,249,0.5633539662037161,0.834406938122364,0.9355156708719757,0.5634330519938519,0.8340663477990135,0.9355683028794594
FLR,249,0.5698774788064507,1.1577174987484673,0.9615243677436065,0.5639431379704752,1.153538522173479,0.9618016349853923
OXY,249,0.5616294063491106,0.7791699930770465,0.9751950642719723,0.5681735150382732,0.7831687529866391,0.9749398093054065
CF,249,0.5718320137390283,0.7848683079600849,0.9764887418036491,0.5733997163787642,0.789708872314902,0.9761978427984622
OKE,249,0.5737110253783357,0.7902599586671967,0.9075214771146008,0.5740470036915041,0.7887655767467597,0.9078709002750579
TSN,249,0.5714089950478571,0.829679347307484,0.9884321132917384,0.5755896464079199,0.8307031045447215,0.9884035480050465
DAL,249,0.5695880634749617,0.7887205752609621,0.9498932301531853,0.5784417523029944,0.7979726873666495,0.9487107770374413
PEP,249,0.5736781424109172,0.7745504388126684,0.9421484137882532,0.5805838507632947,0.7754713369397795,0.9420107672632474
SNI,249,0.5906388461488812,1.0466981170456289,0.9784007726692342,0.581245613212024,1.0366654290066806,0.9788128490273886
NFX,249,0.5800374225730177,0.8011466076817618,0.9568172901597785,0.5825700456378111,0.806510722046669,0.9562370905806407
DFS,249,0.5857966673273738,0.7937515652077384,0.984531202008505,0.5862641657256706,0.7922874317703491,0.984588216059394
COP,249,0.5816114096836436,0.9221501120425344,0.9583234194987225,0.5868711198403279,0.9278651803934631,0.9578052336136402
K,249,0.5816574554037183,0.8141358019176329,0.957742447472291,0.588610445267399,0.8206804074791061,0.9570603239195453
CERN,249,0.5805314405153438,0.8790124487514261,0.9684995078920275,0.5890615923579746,0.8839683348296434,0.9681433060341906
STX,249,0.5895319657431959,1.036054552739194,0.9719058558004914,0.5927967943549943,1.0373841525339051,0.9718337014202151
